text,label
"When we talk about innovation, catch phrases like “fall forwards” and “fail fast” get thrown around to nods of agreement in the boardroom. When it comes to taking real risks with ideas, however, directors often talk a much bigger game than they actually play. For change makers who may be working hard to live up to their job title, it’s unwise to approach apathetic stakeholders unprepared. You’re likely to have your idea shot down with a few carefully worded questions before it even gets off the ground.",BUS30
"That’s why, this week, we’re going to explore some ways that you can be more effective at driving change with a few stakeholder persuasion techniques. Convincing people is all about activating your stakeholder’s sensory imagination and breaking down logical barriers. We have a couple of tools in our toolkit to do that:",BUS30
"And by tangible, we mean data-driven. Nothing speaks to your stakeholders like telling them you know how to increase (or decrease!) the numbers that are important to them. If your idea saves time, put a figure on it in hours. If it increases morale, quantify that with survey results. Hard data is the best method you have for making abstract notions feel real.",BUS30
When Buffer pitched their business idea to investors they used hard data on their existing traction to show how the business could generate a return. Check out the slide deck here.,BUS30
"For every benefit associated with your idea, there is a cost in failing to implement it. Pitching your benefits as missed opportunities to the company can be extremely persuasive, especially if you’re able to spin them as boons to your competitors. Paint a picture of the scenario that could happen if you don’t follow through; “I wouldn’t want to be the one reporting those numbers to management…”.",BUS30
"The sad reality is that your stakeholders expect you to fail. Not because they want you to but because they have seen a thousand failed projects before. They need to know that if this project breaks down half-way, it’s not going to disrupt current operations. Stakeholders also want to know how much it will cost them if your plan does go wrong, and at what point they’ll have to cut their losses and abandon it. You’ll need to think about timescales too, with worst-case-scenario timings thought through. Use strong reasoning to show why their nightmare scenario really isn’t all that bad.",BUS30
"It’s essential to remember that the people you’re pitching to probably have a broader, perhaps even a stronger, knowledge of your organisation than you do. That means you’ll want to spend some time carefully identifying the challenges that stand in the way of implementation. Think about the issue from all possible angles, including how changing market conditions might affect your plan. Moz does a really good job of this on slide 25 in their original pitch deck, breaking down the scenarios that could lead to problems.",BUS30
"“I love it, but it’s going to be a hard sell with [X].”",BUS30
We hear this sentiment a lot. Never forget that every stakeholder you’re pitching to has to answer to somebody else. Their decisions are based on how it will make them look as much the actual results they’re able to get. Make sure you factor this into your pitch and think about how your boss’ bosses will view this project.,BUS30
"And, if you can, run it first. It’s always much easier to approach stakeholders with a prototype that works, a process that’s been tested or an idea that’s worked for someone else. Tangible results help your stakeholders to envision a future in which your idea is functional. If you can’t test your idea in real life, at least include a testing procedure alongside your idea pitch. That way, your stakeholders know that you won’t break anything by giving it a go.",BUS30
The likelihood of your superiors signing off on an organisation-wide change after one conversation is extremely low. The reason being that it takes considerable resources to implement anything on a broad scale. That’s not going to happen until you can prove that it works on a much smaller one. Find a way to demonstrate the results you can achieve on a micro-level before you request more buy-in. Stakeholders are much more likely to give lots of small yeses than one large one.,BUS30
"Follow these steps and you’re much more likely to position yourself for a successful idea pitch. Remember, stakeholder buy-in is the key to driving change and making an impact on your organisation.",BUS30
"Here at Idea Drop, we work with innovators to build powerful innovation strategies that help you to make an impact. Simply drop us a quick message if you are interested to find out more.",BUS30
Author,BUS30
"Questions, feedback or advice?
Send us a message and our team will get back to you as soon as they can, during our office hours. 
",BUS30
© 2021 Idea Drop Ltd,BUS30
"If you’re like most founders, you probably think about your startup 24/7. You wake up in the morning brainstorming product features, and you fall asleep at night contemplating marketing campaigns. You can’t remember the last movie you saw at the theater; your idea of a fun, Saturday night is collaborating with developers overseas. And stalking VCs on LinkedIn has become a favorite past-time.Passion, hardwork and a healthy amount of obsession are essential ingredients to entrepreneurial success. However, it’s not uncommon for founders to become hyper-focused on initial ideas at the expense of an important fact:",BUS30
A startup founder’s ultimate success is dependent on others buying into his or her vision.,BUS30
"Translation: Your progress is contingent upon your ability to pitch the value of who you are, what you’re doing and why it matters. Reaching important milestones like raising venture capital, sourcing top talent and acquiring new customers all require the same skill — telling a story that makes someone say, “Heck, yeah!” Sometimes you have 30 minutes to make that happen; other times you have 30 seconds. Regardless, your job is to clearly communicate why a given audience should care about your business.",BUS30
"If you are a startup looking to get to traction and funding, check out the Founder Institute pre-seed accelerator program.",BUS30
"One of your most powerful tools in achieving this objective is the pitch deck. Early-stage founders can use templates to create visual presentations that provide brief overviews of business value propositions, market opportunities and metrics. At the Founder Institute, we see dozens of decks every week. The majority of them are completely forgettable because someone overlooked a few essential ingredients to storytelling success.",BUS30
"The reality? Phenomenal pitches aren’t thrown together in a weekend — they are thoughtfully contemplated, tested and refined. In this guide, we’ll make a case for why founders should master both The Elevator Pitch and The 1-Minute Pitch before tackling decks. We’ll also provide guidelines for constructing narratives, customizing pitch deck templates and communicating with potential investors. These are many of the same techniques Founder Institute alumni have used to procure $1.75BN+ in funding. Finally, we’ll conclude with some examples of real decks utilized by globally recognized startups. After reading this guide, you will know exactly what it takes to create a compelling deck, give a memorable presentation and stand out from the crowd. Let’s get started... ",BUS30
,BUS30
Three Types of Startup Pitches,BUS30
"Think back to elementary school: Did your foray into your first language begin with a 1,200-page copy of War and Peace? No, you started by learning simple words. Similarly, you shouldn’t expect to construct “the perfect” pitch deck right away. Instead, begin by constructing the simplest description of your business possible: The Elevator Pitch.",BUS30
,BUS30
"As a startup founder, you will meet hundreds of people at various meetings, events and conferences. You will also, routinely, introduce yourself to complete strangers by email. In such situations, you have seconds to peak someone’s curiosity. And the best way to do that is a compelling Elevator Pitch.",BUS30
"This one-sentence statement explains what you do, who you serve and why it matters in simple language. As the name implies, the summary can quickly be recited to a stranger on an elevator ride.",BUS30
Founder Institute CEO and Co-founder Adeo Ressi has developed an awesome Elevator Pitch template dubbed “Startup Madlibs.”,BUS30
Use the template below to craft your own: Let's go through each of the items,BUS30
"OK, let’s look at a couple of examples…",BUS30
Mediocre Elevator Pitch Example:,BUS30
"My company Socialista,Is developing a revolutionary, social utilityTo help female consumersFind deals online faster. ",BUS30
What’s wrong with this pitch?,BUS30
"Including these details implies the person has done their homework, knows their stuff and has a viable business idea.",BUS30
Improved Elevator Pitch Example:,BUS30
"My company Socialista,Is developing an ecommerce websiteTo help female consumers between the ages of 18-25Shop for hip, baby products at wholesale prices,With automated ordering of diapers and other staples.As you can see, the Elevator Pitch format is deceptively simple. The key to standing out is (a) being super specific, and (b) emphasizing your startup’s “secret sauce.” In this case, the founder’s unique differentiator is providing a fashionable solution at an unusually affordable price. Mastering this exercise is extremely helpful in refining Unique Value Propositions.",BUS30
,BUS30
"Once you’ve articulated your Elevator Pitch, you are ready to move onto the One-Minute Pitch. Here you can add several key details to your Elevator Pitch, including:",BUS30
"Check out the easy-to-use ""One Minute Pitch Template"" from the Founder Institute below: ",BUS30
,BUS30
 ,BUS30
"Before you begin creating your pitch deck, it’s important to consider the perspective of potential investors. Top VCs see and hear dozens of pitches per week, both in-person and via email. Luminary Silicon Valley venture capital firm Andreessen Horowitz (a16z) hears from around 3,000 startups each year. How many of those company’s procure investments? Only 15 of them. The current VC landscape is showing bigger deals spread amongst fewer startups. Despite funding reaching its highest levels since 2000, seed-stage investments consisted of only 25 percent of total deals made in 2018. Translation: The competition is tough.",BUS30
,BUS30
Pre-requisites for Pitching to Investors,BUS30
"As Mike Suprovici (Founder Institute EIR) lays out in his Startup Guide: How to Raise the First Round of Funding for Your Startup, before you even begin to approach investors, you need the following:",BUS30
A strong startup idea that is vetted and backed by solid market research. See this startup idea guide from the Founder Institute.,BUS30
"A prototype, a patent, or a proof of concept for the final idea.",BUS30
"A simple and scalable startup financial model that shows at least $10M in revenue after 3 years. See this revenue forecasting template from Aaron Patzer, Founder of Mint.com and FI Mentor.",BUS30
A strong 10 to 15 page presentation that meets investors' expectations. We will discuss this in the section below.,BUS30
"An incorporated entity with a smart capitalization table (""Cap table""). See this simple cap table from Venture Hacks.",BUS30
The ability to quit your job and live for six months on savings while you conclude the financing and launch the business.,BUS30
"Another factor to consider is what kind of investor you are approaching. Consider the stage of your own company, before trying to pitch to certain investors. Do you meet their pre-requisites? If you are raising your first round of funding, then you are likely still at a pre-angel or angel investment stage. As a result, you should NOT try to pitch venture capitalists.",BUS30
,BUS30
What Investors Want to See in a Pitch,BUS30
"If you are ready to pitch angels or venture capitalists, it's critical to understand what those investors are looking for. In order to stand out, your pitch must include both (a) the specific informational components investors are seeking, and (b) a memorable story that illustrates a compelling opportunity. As Jasmine Foroutan, CEO and Founder of Pitch Genius, says, investors want more than rote slideshows:",BUS30
Investors make decisions based on return and risk: How big of a return could they receive? And what might prevent them from receiving that return? Most VCs want a 10-20x return. ,BUS30
"As a founder, your job is to convince investors your startup offers the greatest potential return, with the least amount of risk — in comparison to the others on their list. Generally speaking, investors will evaluate risk in three main areas:",BUS30
,BUS30
"What Makes a Startup ""Fundable""?",BUS30
"During one of Naval Ravikant's (Founder of AngelList) talks at the Founder Institute, he described 'The Anatomy of a Fundable Startup', which you can watch below:",BUS30
,BUS30
"Similarly, when Aaron Patzer (Founder of Mint.com) described his Pitching Secrets to the Founder Institute, he outlined four main questions investors will ask themselves whever they evaluate a startup pitch:",BUS30
"Address those four questions, and you will have a much higher chance of attracting funding from professional investors.",BUS30
,BUS30
"Think of your deck like a visual business plan. Your objective is to succinctly illustrate your marketplace knowledge, business model and qualifications for execution. A standard deck consists of 10 to 14 slides. The most common mistake made by newbie founders? Providing too much detail, too soon. Jenny Lefcourt, General Partner at Freestyle Capital, cautions early-stage founders against making this error:",BUS30
,BUS30
Don’t:,BUS30
Make Two Decks,BUS30
"Many founders are surprised to learn they need two decks: (1) a detailed version that can be shared with investors via email, and (2) a simplified version that can be elaborated upon in person.It’s not uncommon for investors to request to see a deck before agreeing to meet. For this reason, your “reading” version should include enough detail to stand alone. Conversely, a standard deck should be streamlined to ensure investors spend more time listening and less time reading. Most of the presentations available for online viewing showcase “listening” decks. We recommend beginning with the construction of the “reading” deck, which can then be edited for pitch presentations.",BUS30
,BUS30
,BUS30
"Is there a RIGHT way to organize a pitch deck? The answer is both yes and no. In terms of information provided, there are certain points you absolutely must cover. However, you have creative freedom when organizing and presenting your slides. Here are the four most common types of decks:",BUS30
"The most commonly used pitch deck template is the Problem-Solution Deck, which is ideal for founders with especially unique solutions to widespread problems. ",BUS30
"All four frameworks contain the same informational points, organized in different ways. A variety of templates exist online and can be modified to meet your needs. However, don’t be afraid to venture outside of existing formats, so long as you're including necessary information.",BUS30
"The most compelling elements of your business plan, your unique value proposition (UVP) and your intended audience should all inform how you structure your deck.",BUS30
"With that said, the Problem-Solution Pitch Deck Template is a great place to start. In this section, we’ll walk through all of the elements included in the standard deck: ",BUS30
,BUS30
,BUS30
1. Cover,BUS30
Announce your big idea — the one thing you do better than anyone else. You have 10 seconds to engage your audience. Include:,BUS30
2. Summary ,BUS30
"Summarize the highlights of your business opportunity, emphasizing minimization of market, product and execution risk. Include:",BUS30
,BUS30
,BUS30
,BUS30
3. Problem,BUS30
"Describe the problem you solve, who you solve it for and the reasons why your target customer are unsatisfied with current solutions. Include:",BUS30
,BUS30
,BUS30
,BUS30
4. Solution,BUS30
"Describe your solution and the major benefits it entails. Are current solutions slow, expensive or difficult to use? Are your solutions faster, cheaper and easier to use? Do customers care? Include:",BUS30
,BUS30
,BUS30
,BUS30
5. Product,BUS30
"Make your product more tangible by illustrating how it works in three simple steps. Utilize screenshots, graphics and/or video. Skip the demo. Depending on your idea, this might be the ideal place to showcase the filing status of important patents. Include:",BUS30
"NOTE: The order of slides 6, 7, 8, 9 can be rearranged to fit your particular narrative.",BUS30
,BUS30
,BUS30
